,VALUE
1695,17000.0
1696,19300.0
1697,19200.0
1698,21200.0
1699,20800.0
1700,21400.0
1701,21500.0
1702,2200.0
1703,10200.0
1704,31500.0
1705,31000.0
1706,36000.0
1707,31100.0
1708,33300.0
1709,38700.0
1710,40500.0
1711,39100.0
1712,39400.0
1713,45000.0
1714,11200.0
1715,27300.0
1716,5500.0
1717,4900.0
1718,4900.0
1719,5600.0
1720,8900.0
1721,11100.0
1722,14600.0
1723,15300.0
1724,18100.0
1725,23400.0
1726,5400.0
1727,16100.000000000002
1728,41000.0
1729,42100.0
1730,45600.0
1731,46100.0
1732,52900.0
1733,54900.0
1734,55000.0
1735,57400.0
1736,62000.0
1737,63700.0
1738,8700.0
1739,39400.0
1740,43700.0
1741,48100.0
1742,52000.0
1743,53600.0
1744,56900.0
1745,59200.0
1746,66200.0
1747,80700.0
1748,91700.0
1749,86900.0
1750,5600.0
1751,38200.0
1752,18400.0
1753,20700.0
1754,21900.0
1755,20800.0
1756,26700.0
1757,26500.0
1758,30800.0
1759,33800.0
1760,37800.0
1761,41600.0
1762,2100.0
1763,22300.0
1764,48600.0
1765,53700.0
1766,52200.0
1767,52600.0
1768,58700.0
1769,70400.0
1770,83400.0
1771,87000.0
1772,96700.0
1773,99300.0
1774,13100.0
1775,69400.0
1776,428900.0
1777,463600.0
1778,469700.0
1779,509400.0
1780,536700.0
1781,569000.0
1782,607100.0
1783,609800.0
1784,608200.0
1785,621200.0
1786,65099.99999999999
1787,285400.0
1788,63200.0
1789,57700.0
1790,64000.0
1791,73700.0
1792,74200.0
1793,82300.0
1794,98500.0
1795,112500.0
1796,129500.0
1797,125700.0
1798,10000.0
1799,49000.0
1800,8900.0
1801,10000.0
1802,10300.0
1803,10600.0
1804,12700.0
1805,14100.0
1806,14300.0
1807,15900.0
1808,16600.0
1809,15800.0
1810,1500.0
1811,8000.0
1812,24400.0
1813,28100.0
1814,29300.0
1815,31300.0
1816,30800.0
1817,46100.0
1818,51400.0
1819,55600.0
1820,56300.0
1821,57700.0
1822,14700.0
1823,33100.0
1824,8100.0
1825,10000.0
1826,21300.0
1827,23000.0
1828,30400.0
1829,30800.0
1830,29000.0
1831,30800.0
1832,28400.0
1833,28800.0
1834,4600.0
1835,11600.0
